folder,D_mm,H_mm,ER_guess,fft_f0_Hz,freq_mean_Hz,freq_diff_Hz
02_09_D_88mm_200mm,88,200,0.65,0.3600518157624215,1.9199564676200314,-1.5599046518576098
02_09_D_88mm_200mm,88,200,0.7,0.1556141266554185,1.5101879447265716,-1.354573818071153
02_09_D_88mm_200mm,88,200,0.72,0.1637478162147574,1.0975232251908231,-0.9337754089760657
02_09_D_88mm_200mm,88,200,0.75,0.16363809107972843,0.9735296628774787,-0.8098915717977502
02_09_D_88mm_200mm,88,200,0.8,0.14314008206641368,1.2837710277320122,-1.1406309456655985
02_09_D_88mm_200mm,88,200,0.85,0.19631111751453664,1.0619233064749327,-0.865612188960396
03_09_D_88mm_350mm,88,350,0.6,0.5971974271694225,1.334790187631919,-0.7375927604624966
03_09_D_88mm_350mm,88,350,0.65,0.27450879766167463,1.1412748490974354,-0.8667660514357607
03_09_D_88mm_350mm,88,350,0.7,0.12934680204472954,1.1491711415015686,-1.0198243394568391
03_09_D_88mm_350mm,88,350,0.71,2.05933051923026,1.7262490900669352,0.3330814291633246
03_09_D_88mm_350mm,88,350,0.72,2.1328634229227834,2.1933043951685303,-0.06044097224574685
03_09_D_88mm_350mm,88,350,0.75,0.1272212836118631,0.6838991782153491,-0.5566778946034859
29_08_D_88mm_260mm,88,260,0.7,0.5815234637841945,1.2988682363624724,-0.7173447725782779
29_08_D_88mm_260mm,88,260,0.75,3.5294028055842177,1.5365959305612906,1.992806875022927
29_08_D_88mm_260mm,88,260,0.8,2.3289917952292605,1.5392287415375605,0.7897630536917
29_08_D_88mm_260mm,88,260,0.85,3.006046857594571,0.8698363533880719,2.136210504206499
29_08_D_88mm_260mm,88,260,0.9,2.8212717298836467,0.7101664774528132,2.1111052524308334
